,DEPT,HCAL,GR,DTCO,DTSM,NPHI,RHOZ,PEFZ,facies,facies_number,Kmeans
446,10897.5,8.6296,43.715,56.5292,105.2021,0.0396,2.7166,4.8879,clean,1,2
447,10898.0,8.6296,47.3232,56.8139,105.3514,0.0322,2.7098,4.9167,clean,1,2
448,10898.5,8.652,50.5963,57.0434,105.2415,0.0315,2.7229,4.8294,shale,2,2
449,10899.0,8.6408,51.8296,56.9894,105.3558,0.031,2.7331,4.7621,shale,2,2
450,10899.5,8.6296,50.0007,56.7754,105.2767,0.0375,2.7483,4.6773,shale,2,2
451,10900.0,8.6296,47.9073,56.8124,105.4556,0.039,2.7576,4.6544,clean,1,2
452,10900.5,8.6408,46.6261,56.8972,105.3833,0.0382,2.7521,4.7037,clean,1,2
453,10901.0,8.652,43.9313,57.0664,105.4644,0.0432,2.7406,4.7787,clean,1,2
454,10901.5,8.652,47.5199,56.995,105.6886,0.0443,2.7223,4.8566,clean,1,2
455,10902.0,8.6745,46.253,56.8759,105.6272,0.0471,2.7181,4.8456,clean,1,2
456,10902.5,8.6296,47.4305,56.6034,105.5251,0.0402,2.7139,4.8081,clean,1,2
457,10903.0,8.6296,45.6305,56.6109,105.6705,0.045,2.7123,4.7555,clean,1,2
458,10903.5,8.6296,48.7602,56.7624,105.5408,0.0503,2.7114,4.7448,clean,1,2
459,10904.0,8.6408,48.1621,57.0261,105.5999,0.0542,2.7084,4.7887,clean,1,2
460,10904.5,8.6296,45.7754,57.0575,105.7133,0.0495,2.7059,4.8309,clean,1,2
461,10905.0,8.652,48.5455,56.9873,105.7065,0.0441,2.7105,4.8218,clean,1,2
462,10905.5,8.652,46.1531,57.1184,105.5066,0.041,2.726,4.7595,clean,1,2
463,10906.0,8.652,44.9658,57.4378,105.3017,0.0431,2.7434,4.695,clean,1,2
464,10906.5,8.652,36.7922,57.0376,105.1036,0.0414,2.7383,4.7253,clean,1,2
465,10907.0,8.652,38.8856,57.0532,105.4324,0.0413,2.7238,4.7634,clean,1,2
466,10907.5,8.652,44.2724,56.9826,105.2965,0.0387,2.7092,4.8012,clean,1,2
467,10908.0,8.652,53.543,56.7915,105.251,0.0414,2.7131,4.7769,shale,2,2
468,10908.5,8.652,56.8326,57.0947,105.3888,0.0433,2.7237,4.7528,shale,2,2
469,10909.0,8.652,52.2154,57.177,105.1697,0.0529,2.7303,4.7596,shale,2,2
470,10909.5,8.652,50.7201,56.6342,104.6168,0.0547,2.7215,4.8256,shale,2,2
471,10910.0,8.652,46.5436,56.4574,104.7648,0.0525,2.7087,4.8995,clean,1,2
472,10910.5,8.6296,47.5594,56.5027,105.3047,0.0449,2.7146,4.8598,clean,1,2
473,10911.0,8.652,47.7011,57.0026,105.1558,0.0436,2.7339,4.7525,clean,1,2
474,10911.5,8.652,51.2795,57.5551,105.77,0.0466,2.7456,4.6866,shale,2,2
475,10912.0,8.652,56.3992,58.2684,106.5907,0.0472,2.7439,4.7058,shale,2,2
476,10912.5,8.6296,49.9931,57.3102,106.5608,0.0453,2.7305,4.8339,clean,1,2
477,10913.0,8.652,48.7969,58.4118,107.4376,0.0398,2.7231,4.9834,clean,1,2
478,10913.5,8.652,42.481,58.5733,108.8357,0.0393,2.7111,5.1356,clean,1,2
479,10914.0,8.652,48.3741,59.0504,108.814,0.0434,2.7068,5.1545,clean,1,2
